SN,mB,mB_err,x1,x1_err,c,c_err,mu,mu_err,HR,Outlier,log(M_stellar),log(M_stellar)_err,log(sSFR),log(sSFR)_err,Host z,Host z (HD)
2021gcw,18.68279266947792,0.022789527771666897,2.2901253029302624,0.2031027154809994,-0.015739363494266488,0.017497083065488955,38.28152112503733,0.14114663564796973,0.4381101799604039,y,10.77,0.08999999999999986,-11.32,0.5999999999999996,0.0813093036,0.08149037546861027
2021gdr,17.47400480532442,0.027455974642352145,0.6593930814106667,0.1276460580416958,-0.08255678318273725,0.01836497996160762,37.02072608896948,0.14011028559154318,0.14927140121803006,n,10.45,0.08000000000000007,-10.17,0.15000000000000036,0.0521969423,0.05313331479445038
2021ghc,17.2083578482968,0.006952332324342921,0.361215340617557,0.057482928359106976,-0.03287123598176187,0.006384622872391005,36.59885945651324,0.13783165053059473,0.025720858532828572,n,9.51,0.08999999999999986,-9.73,0.21000000000000085,0.0461710356,0.046533789769031886
2021hji,18.28876079211355,0.010575139924615394,0.6662768637561024,0.12325823269783309,0.1576549725883841,0.009717280782592779,37.26706822250362,0.13888854471267345,0.17286492832310074,n,9.78,0.08000000000000007,-9.93,0.16000000000000014,0.0576692298,0.05864192531478718
2021hol,18.568932170574946,0.011057172337538989,-0.07325514630784676,0.13790672598488235,-0.0519590355934802,0.011567798976695413,37.948625171057785,0.13901255196167026,0.038457699682311386,n,9.7,0.11000000000000121,-9.62,0.1399999999999988,0.0840544477,0.08389571540406937
2021huu,17.349800548958935,0.0069278239436370076,0.336386017490633,0.04212872765006009,0.014974604882610014,0.005485770926206153,36.62370453164343,0.13750116822613698,0.024886346221613564,n,9.48,0.07000000000000028,-10.02,0.0,0.046186123,0.04706912442407507
2021hyg,18.855996457001375,0.014150068375288666,-0.27790747792634857,0.1491218821236368,0.04025743364932909,0.01302780912237175,37.99073627459996,0.13949932693191408,-0.06907576135780147,n,10.47,0.09999999999999964,-9.98,0.21000000000000085,0.088950254,0.08953548465507777
2021iai,18.074549618978473,0.009551550662561248,0.30640047141027615,0.08529224430394765,-0.06178683463420279,0.008737084697319965,37.52651007787346,0.13745163474344746,0.014435091442756232,n,10.1,0.08000000000000007,-9.57,0.1899999999999995,0.0697310865,0.07049404416801575
2021igt,18.36794679483973,0.009675007502357292,0.16235201677155278,0.08073778118743934,-0.05118937929257908,0.008602729817638944,37.776209033926676,0.1372581804182709,0.1374731770908113,n,10.02,0.08999999999999986,-9.68,0.1999999999999993,0.0753545612,0.07451880011880152
2021iit,18.098243612545545,0.04882089325727135,-0.20182878258095086,0.5048386132011442,0.048660595709035276,0.038044635754413386,37.22288208776219,0.15955758625274116,-0.019998162979433687,n,9.46,0.0799999999999983,-9.38,0.20000000000000107,0.0630013123,0.06262072052847545
2021itd,18.21874733065272,0.011612915466629903,0.2521677305802544,0.09082809539207337,-0.04775975898738724,0.009912197852377864,37.630467596697684,0.13743658310055507,-0.18189237062388486,n,10.68,0.09999999999999964,-11.07,0.40000000000000036,0.0800717995,0.08039408813915472
2021jwl,17.043338092193753,0.008721290308735094,-0.9828602872397356,0.052455993239496075,-0.04808569843130573,0.006464996708282036,36.296512220422024,0.1387067047399917,0.14884741991664185,n,9.97,0.10999999999999943,-10.12,0.1899999999999995,0.0385221653,0.038478726683055964
2021jys,16.903976855222695,0.006154186105565486,-0.29040610859867705,0.058595247211820106,0.011148056328939443,0.004959063078372118,36.10609357371388,0.13884141451017593,0.04662552114102425,n,9.34,0.08999999999999986,-10.07,0.14000000000000057,0.0361571014,0.036987597282926554
2021jzw,18.252824855941824,0.01895183340569922,-1.8801938337702624,0.11315578721643237,0.24104686657923324,0.013249404553011086,36.70499877759268,0.1386584555522272,0.05824195165622115,n,9.97,0.08000000000000007,-9.98,0.16000000000000014,0.0474437438,0.048084503667857215
2021kax,18.305339729540894,0.01918420715845205,0.014344844183579435,0.14152573585455167,-0.023609317006211755,0.013738981412868334,37.6291442957453,0.13899610988252378,0.07199044030974022,n,10.21,0.08999999999999986,-9.48,0.21000000000000085,0.0721848309,0.07190201314189215
2021kjh,17.52201479937345,0.007368588167281398,0.04463816543449182,0.07388739392325464,0.051715093954049635,0.006378349117120754,36.6712083500434,0.13771843702966713,-0.0764312419124451,n,9.49,0.09999999999999964,-9.82,0.20000000000000107,0.0492716394,0.050291050452163866
2021kly,17.065928263037666,0.007451432174822686,1.0741301708714248,0.18829642889266474,-0.026496610554887258,0.006805632056142758,36.533288022095164,0.14002439477914552,0.04292932684207784,n,10.91,0.08000000000000007,-10.12,0.1399999999999988,0.044206351,0.044847995146366504
2021kom,17.1362971572909,0.02045234384002741,1.6988973265901721,0.2795046069324888,0.0020889775600535215,0.01456590711386717,36.61650403560371,0.14302724196436442,0.04877556459447874,n,10.05,0.10999999999999943,-10.17,0.1899999999999995,0.0450519137,0.04642176169373147
2021kqa,17.6562789016846,0.010716328319721684,-1.2315831031310323,0.08214808748043087,-0.006029199789997449,0.008296544474856128,36.77769388488299,0.13776602734518084,-0.02590821234231555,n,9.88,0.08999999999999986,-9.88,0.20000000000000107,0.0503048562,0.051557014892632314
2021kut,16.21757295128752,0.00484655266727048,0.33659844089502633,0.04034709426638714,-0.05940128819558295,0.003815269618662252,35.6677752031865,0.1394834863007165,-0.1234675490578141,n,9.72,0.10999999999999943,-10.27,0.15000000000000036,0.0312593058,0.032790863615049126
2021lat,17.2315989570968,0.007330865129448783,1.422537420411753,0.049603908364349567,0.16525014749688724,0.005154430738260571,36.28946343476229,0.13928028932456232,0.3862923729810106,n,9.44,0.11000000000000121,-9.62,0.1399999999999988,0.0338572077,0.034482339595193645
2021lma,17.855096257457234,0.011683935899647257,0.42665917039642803,0.12136301041026724,0.004078159252621159,0.008795396469940401,37.16647005300966,0.1376788511365398,-0.15380382678367255,n,9.69,0.09999999999999964,-10.32,0.20000000000000107,0.0642521381,0.06479336320720752
2021lsv,17.688364525610584,0.016025580657200823,0.9708820822251716,0.17118558790856386,0.00047503085705115095,0.011194240676726669,37.07848249108642,0.1390935298425138,0.07449528808384542,n,9.38,0.09999999999999964,-9.98,0.21000000000000085,0.0559483841,0.05634753508119439
2021lvg,18.316030176239504,0.0168864804007799,-0.4133075893627278,0.1228639877648314,0.06967854739934368,0.012970727073368467,37.36357533987526,0.13845778906027822,-0.10951726422090502,n,10.48,0.08999999999999986,-10.12,0.1399999999999988,0.0696092173,0.06929781482045505
